"","Zip","City","State","Latitude","Longitude","Timezone","Daylight savings time flag","geopoint"
"1455","47990","Waynetown","IN",40.071792,-87.06369,-5,0,"40.071792,-87.06369"
"1456","40862","Partridge","KY",37.004426,-82.89858,-5,1,"37.004426,-82.89858"
"1457","46250","Indianapolis","IN",39.905689,-86.06733,-5,0,"39.905689,-86.06733"
"1458","47513","Birdseye","IN",38.316017,-86.70118,-5,0,"38.316017,-86.70118"
"1459","41159","Martha","KY",38.019104,-82.9507,-5,1,"38.019104,-82.9507"
"1460","41739","Dwarf","KY",37.348289,-83.11137,-5,1,"37.348289,-83.11137"
"1461","42265","Olmstead","KY",36.752802,-87.02003,-6,1,"36.752802,-87.02003"
"1462","42333","Cromwell","KY",37.349023,-86.76565,-6,1,"37.349023,-86.76565"
"1463","40175","Vine Grove","KY",37.826822,-86.00692,-5,1,"37.826822,-86.00692"
"1464","40913","Beverly","KY",36.942094,-83.53262,-5,1,"36.942094,-83.53262"
"1465","46381","Thayer","IN",41.170584,-87.33142,-6,1,"41.170584,-87.33142"
"1466","84634","Gunnison","UT",39.193513,-111.85047,-7,1,"39.193513,-111.85047"
"1467","47166","Ramsey","IN",38.313345,-86.16656,-5,1,"38.313345,-86.16656"
"1468","47445","Midland","IN",39.125078,-87.19332,-5,0,"39.125078,-87.19332"
"1469","47720","Evansville","IN",38.045951,-87.62723,-6,1,"38.045951,-87.62723"
"1470","46049","Kempton","IN",40.292007,-86.22757,-5,0,"40.292007,-86.22757"
"1471","46391","Westville","IN",41.550192,-86.91068,-6,1,"41.550192,-86.91068"
"1472","40958","Kettle Island","KY",36.793291,-83.58725,-5,1,"36.793291,-83.58725"
"1473","84329","Park Valley","UT",41.689359,-113.44562,-7,1,"41.689359,-113.44562"
"1474","84720","Cedar City","UT",37.75164,-113.16557,-7,1,"37.75164,-113.16557"
"1475","42220","Elkton","KY",36.887716,-87.18526,-6,1,"36.887716,-87.18526"
"1476","46228","Indianapolis","IN",39.849474,-86.20448,-5,0,"39.849474,-86.20448"
"1477","42411","Fredonia","KY",37.216778,-88.01438,-6,1,"37.216778,-88.01438"
"1478","46982","Silver Lake","IN",41.054969,-85.90441,-5,0,"41.054969,-85.90441"
"1479","47236","Grammer","IN",39.152228,-85.726135,-5,0,"39.152228,-85.726135"
"1480","47449","Newberry","IN",38.926709,-87.0031,-5,0,"38.926709,-87.0031"
"1481","46814","Fort Wayne","IN",41.044502,-85.30984,-5,0,"41.044502,-85.30984"
"1482","42150","Halfway","KY",36.782131,-86.184088,-6,1,"36.782131,-86.184088"
"1483","84654","Salina","UT",38.915722,-111.72893,-7,1,"38.915722,-111.72893"
"1484","84024","Echo","UT",40.959532,-111.42743,-7,1,"40.959532,-111.42743"
"1485","84050","Morgan","UT",41.059771,-111.71141,-7,1,"41.059771,-111.71141"
"1486","40751","Marydell","KY",37.137615,-84.115617,-5,1,"37.137615,-84.115617"
"1487","40946","Green Road","KY",36.966634,-83.83413,-5,1,"36.966634,-83.83413"
"1488","46120","Cloverdale","IN",39.513388,-86.79169,-5,0,"39.513388,-86.79169"
"1489","46224","Indianapolis","IN",39.795593,-86.25409,-5,0,"39.795593,-86.25409"
"1490","46710","Avilla","IN",41.353742,-85.24367,-5,0,"41.353742,-85.24367"
"1491","47446","Mitchell","IN",38.733355,-86.49319,-5,0,"38.733355,-86.49319"
"1492","41146","Hitchins","KY",38.272476,-82.90494,-5,1,"38.272476,-82.90494"
"1493","42040","Farmington","KY",36.614839,-88.5005,-6,1,"36.614839,-88.5005"
"1494","40320","Ford","KY",37.968496,-84.157766,-5,1,"37.968496,-84.157766"
"1495","47228","Cortland","IN",38.974458,-85.962761,-5,0,"38.974458,-85.962761"
"1496","42402","Baskett","KY",37.778911,-87.60124,-6,1,"37.778911,-87.60124"
"1497","42409","Dixon","KY",37.52165,-87.69701,-6,1,"37.52165,-87.69701"
"1498","84066","Roosevelt","UT",40.328012,-110.01689,-7,1,"40.328012,-110.01689"
"1499","84136","Salt Lake City","UT",40.768546,-111.887869,-7,1,"40.768546,-111.887869"
"1500","47405","Bloomington","IN",39.173447,-86.515145,-5,0,"39.173447,-86.515145"
"1501","47903","Lafayette","IN",40.304402,-86.824468,-5,0,"40.304402,-86.824468"
"1502","42371","Rumsey","KY",37.508047,-87.29293,-6,1,"37.508047,-87.29293"
"1503","41651","Minnie","KY",37.465744,-82.75492,-5,1,"37.465744,-82.75492"
"1504","42049","Hazel","KY",36.511681,-88.32543,-6,1,"36.511681,-88.32543"
"1505","47467","Tunnelton","IN",38.768275,-86.34441,-5,0,"38.768275,-86.34441"
"1506","84747","Loa","UT",38.41744,-111.67612,-7,1,"38.41744,-111.67612"
"1507","46181","Trafalgar","IN",39.396833,-86.16098,-5,0,"39.396833,-86.16098"
"1508","40071","Taylorsville","KY",38.045406,-85.36427,-5,1,"38.045406,-85.36427"
"1509","46580","Warsaw","IN",41.2281,-85.85778,-5,0,"41.2281,-85.85778"
"1510","47381","Salamonia","IN",40.382778,-84.86603,-5,0,"40.382778,-84.86603"
"1511","84011","Bountiful","UT",40.963547,-112.115984,-7,1,"40.963547,-112.115984"
"1512","84016","Clearfield","UT",40.892995,-111.888121,-7,1,"40.892995,-111.888121"
"1513","41663","Tram","KY",37.568942,-82.64774,-5,1,"37.568942,-82.64774"
"1514","40593","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1515","46502","Atwood","IN",41.259773,-85.97379,-5,0,"41.259773,-85.97379"
"1516","40951","Hima","KY",37.147687,-83.737014,-5,1,"37.147687,-83.737014"
"1517","46916","Burrows","IN",40.584272,-86.573952,-5,0,"40.584272,-86.573952"
"1518","47280","Taylorsville","IN",39.296605,-85.95025,-5,0,"39.296605,-85.95025"
"1519","40143","Hardinsburg","KY",37.777083,-86.48345,-6,1,"37.777083,-86.48345"
"1520","40555","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1521","47809","Terre Haute","IN",39.470986,-87.41107,-5,0,"39.470986,-87.41107"
"1522","47857","Knightsville","IN",39.526913,-87.086882,-5,0,"39.526913,-87.086882"
"1523","40533","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1524","46562","Pierceton","IN",41.213756,-85.70397,-5,0,"41.213756,-85.70397"
"1525","46979","Russiaville","IN",40.427588,-86.26918,-5,0,"40.427588,-86.26918"
"1526","84057","Orem","UT",40.311854,-111.70561,-7,1,"40.311854,-111.70561"
"1527","41422","Elsie","KY",37.690636,-83.074592,-5,1,"37.690636,-83.074592"
"1528","41559","Regina","KY",37.364548,-82.40573,-5,1,"37.364548,-82.40573"
"1529","46113","Camby","IN",39.631344,-86.31273,-5,0,"39.631344,-86.31273"
"1530","47246","Hope","IN",39.297144,-85.76741,-5,0,"39.297144,-85.76741"
"1531","47736","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"1532","84408","Ogden","UT",41.195593,-111.948474,-7,1,"41.195593,-111.948474"
"1533","84756","Newcastle","UT",37.692401,-113.627239,-7,1,"37.692401,-113.627239"
"1534","47574","Rome","IN",37.934212,-86.56537,-5,0,"37.934212,-86.56537"
"1535","41367","Rowdy","KY",37.383285,-83.2404,-5,1,"37.383285,-83.2404"
"1536","84114","Salt Lake City","UT",40.668068,-111.908297,-7,1,"40.668068,-111.908297"
"1537","84758","Orderville","UT",37.26947,-112.64419,-7,1,"37.26947,-112.64419"
"1538","46259","Indianapolis","IN",39.651145,-85.98073,-5,0,"39.651145,-85.98073"
"1539","47358","Modoc","IN",40.043409,-85.11692,-5,0,"40.043409,-85.11692"
"1540","41360","Pine Ridge","KY",37.791388,-83.64971,-5,1,"37.791388,-83.64971"
"1541","46851","Fort Wayne","IN",41.093763,-85.070713,-5,0,"41.093763,-85.070713"
"1542","40488","Waneta","KY",37.471602,-84.03936,-5,1,"37.471602,-84.03936"
"1543","47591","Vincennes","IN",38.668827,-87.50791,-5,0,"38.668827,-87.50791"
"1544","47660","Oakland City","IN",38.323439,-87.34145,-6,1,"38.323439,-87.34145"
"1545","47992","Westpoint","IN",40.319429,-87.04867,-5,0,"40.319429,-87.04867"
"1546","84915","Clinton","UT",41.142472,-112.066211,-7,1,"41.142472,-112.066211"
"1547","84088","West Jordan","UT",40.594222,-111.97889,-7,1,"40.594222,-111.97889"
"1548","46404","Gary","IN",41.588636,-87.37271,-6,1,"41.588636,-87.37271"
"1549","46768","Plainfield","IN",39.712549,-86.370409,-5,0,"39.712549,-86.370409"
"1550","47552","Lincoln City","IN",38.118547,-86.99567,-6,1,"38.118547,-86.99567"
"1551","41747","Hardburly","KY",37.300202,-83.122477,-5,1,"37.300202,-83.122477"
"1552","42719","Campbellsville","KY",37.337936,-85.330374,-5,1,"37.337936,-85.330374"
"1553","41061","Milford","KY",38.688556,-84.070074,-5,1,"38.688556,-84.070074"
"1554","42464","White Plains","KY",37.168568,-87.37879,-6,1,"37.168568,-87.37879"
"1555","84189","Salt Lake City","UT",40.668068,-111.908297,-7,1,"40.668068,-111.908297"
"1556","41390","Whick","KY",37.424083,-83.37595,-5,1,"37.424083,-83.37595"
"1557","42441","Nebo","KY",37.36327,-87.65307,-6,1,"37.36327,-87.65307"
"1558","47549","Jasper","IN",38.364749,-86.876173,-5,0,"38.364749,-86.876173"
"1559","46990","Urbana","IN",40.898561,-85.7457,-5,0,"40.898561,-85.7457"
"1560","42328","Centertown","KY",37.410099,-87.03433,-6,1,"37.410099,-87.03433"
"1561","84150","Salt Lake City","UT",40.668068,-111.908297,-7,1,"40.668068,-111.908297"
"1562","47963","Morocco","IN",40.960029,-87.44715,-6,1,"40.960029,-87.44715"
"1563","47932","Covington","IN",40.133867,-87.40081,-5,0,"40.133867,-87.40081"
"1564","40232","Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"1565","40486","Tyner","KY",37.369321,-83.85889,-5,1,"37.369321,-83.85889"
"1566","41812","Deane","KY",37.241284,-82.75013,-5,1,"37.241284,-82.75013"
"1567","46295","Indianapolis","IN",39.779492,-86.132837,-5,0,"39.779492,-86.132837"
"1568","46408","Gary","IN",41.542536,-87.3581,-6,1,"41.542536,-87.3581"
"1569","46506","Bremen","IN",41.450744,-86.1692,-5,0,"41.450744,-86.1692"
"1570","47808","Terre Haute","IN",39.433602,-87.410094,-5,0,"39.433602,-87.410094"
"1571","84540","Thompson","UT",39.210907,-109.44491,-7,1,"39.210907,-109.44491"
"1572","46403","Gary","IN",41.604654,-87.25695,-6,1,"41.604654,-87.25695"
"1573","41339","Jackson","KY",37.533559,-83.34547,-5,1,"37.533559,-83.34547"
"1574","42533","Ferguson","KY",37.067452,-84.60301,-5,1,"37.067452,-84.60301"
"1575","47880","Shepardsville","IN",39.600636,-87.419569,-5,0,"39.600636,-87.419569"
"1576","40582","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1577","40591","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1578","46180","Stilesville","IN",39.612844,-86.63017,-5,0,"39.612844,-86.63017"
"1579","42718","Campbellsville","KY",37.372314,-85.3549,-5,1,"37.372314,-85.3549"
"1580","46572","Tyner","IN",41.325513,-86.260569,-5,0,"41.325513,-86.260569"
"1581","46950","Lucerne","IN",40.882776,-86.38446,-5,0,"40.882776,-86.38446"
"1582","40006","Bedford","KY",38.597624,-85.33889,-5,1,"38.597624,-85.33889"
"1583","40467","Peoples","KY",37.416008,-83.993588,-5,1,"37.416008,-83.993588"
"1584","40522","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1585","46034","Cicero","IN",40.127019,-86.03121,-5,0,"40.127019,-86.03121"
"1586","46996","Winamac","IN",41.048063,-86.64799,-5,0,"41.048063,-86.64799"
"1587","47354","Losantville","IN",40.043267,-85.20909,-5,0,"40.043267,-85.20909"
"1588","47388","Sulphur Springs","IN",40.005999,-85.44341,-5,0,"40.005999,-85.44341"
"1589","42304","Owensboro","KY",37.745491,-87.112823,-6,1,"37.745491,-87.112823"
"1590","42032","Columbus","KY",36.755242,-89.10667,-6,1,"36.755242,-89.10667"
"1591","46234","Indianapolis","IN",39.797622,-86.32493,-5,0,"39.797622,-86.32493"
"1592","84772","Summit","UT",37.800295,-112.93517,-7,1,"37.800295,-112.93517"
"1593","47862","Montezuma","IN",39.783738,-87.35609,-5,0,"39.783738,-87.35609"
"1594","47145","Milltown","IN",38.344403,-86.29997,-5,0,"38.344403,-86.29997"
"1595","41377","Talbert","KY",37.416002,-83.44991,-5,1,"37.416002,-83.44991"
"1596","40299","Louisville","KY",38.190568,-85.55348,-5,1,"38.190568,-85.55348"
"1597","42420","Henderson","KY",37.825094,-87.56055,-6,1,"37.825094,-87.56055"
"1598","42649","Strunk","KY",36.631706,-84.42183,-5,1,"36.631706,-84.42183"
"1599","47203","Columbus","IN",39.232235,-85.86356,-5,0,"39.232235,-85.86356"
"1600","47739","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"1601","84751","Milford","UT",38.348238,-113.1063,-7,1,"38.348238,-113.1063"
